Code,Degree,DegreeId,UniversityId,Academic Level Id,AmbitId,Academic Year
4312884,Ingeniería Informática,ede8fb15584211b2a4e23a03b63db2c4,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
4310758,Ingeniería Mecatrónica,b6b0e0da6d7b876efad46c9b50c26e41,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
4312886,Ingeniería Química,4595aa3ccd1f969ef98f774e1ef185ef,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
3500022,Ingeniería Web,7fce1026119a79e91a45edaca2fe2e09,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
4310552,Intervención e Investigación Socioeducativa,ab60edbe9f8a8706bbf1410108f323f2,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
4315628,Investigación e Innovación en Educación Infantil y Primaria,d66d0d652046e4a500a6e694d55b8777,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
4315627,Investigación en Neurociencias,1b7e40ffc3ff6aae1a9df117e51a4a0c,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,afc4b5d3b7e78e8fb66cf859c95aaefe,2023-2024
4313662,Lengua Española y Lingüística,ff36845a0af6f5c6f8793b5a35be12ec,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,72ceb55b13672d5fdbac7ce07f1e85a8,2023-2024
4315352,Náutica y Gestión del Transporte Marítimo,18ad42f9361d10840c5358d5863e5c0a,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
4311190,Ortodoncia y Ortopedia Dentofacial,c28560ec06c23d7cc6e1113c4eb083b9,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,afc4b5d3b7e78e8fb66cf859c95aaefe,2023-2024
4312032,Prevención de Riesgos Laborales,d51d313440dec7a2b1e7973593b32d44,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
4312890,Protección Jurídica de las Personas y los Grupos Vulnerables,3dffe0c823c896ed1b6739988073e6db,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
4314934,Psicología General Sanitaria,bab077dc6bb736b26889a293c94fe080,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,afc4b5d3b7e78e8fb66cf859c95aaefe,2023-2024
4312891,Química y Desarrollo Sostenible,519f7b40461b9ee1726d9ba198c11a7c,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,cca488c1d5d31aa9a4c4356b47f75ebd,2023-2024
4312892,Recursos Geológicos e Ingeniería Geológica,1136bbfea341c3b30abf6c244115e0ee,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,cca488c1d5d31aa9a4c4356b47f75ebd,2023-2024
4315569,Sistemas de Información y Análisis Contable,54b85766f83dc3251bc3013ae441fca0,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
4315346,Tecnologías Marinas y Mantenimiento,835c460ecfb314d5c5a67c134420f7cb,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
