Date,Year,Month,Day,DOW,Public holiday,Adelaide,Brisbane,Canberra,Darwin,Hobart,Melbourne,Perth,Sydney,Number,National_holiday
9/26/2022,2022,9,26,Monday,Queen's Birthday,,,,,,,1,,1,FALSE
10/3/2022,2022,10,3,Monday,Queen's Birthday & Labour Day,1,1,1,,,,,1,4,FALSE
10/20/2022,2022,10,20,Thursday,Royal Hobart Show,,,,,1,,,,1,FALSE
11/1/2022,2022,11,1,Tuesday,Melbourne Cup,,,,,,1,,,1,FALSE
12/25/2022,2022,12,25,Sunday,Christmas Day,,1,1,1,1,1,1,1,7,FALSE
12/26/2022,2022,12,26,Monday,Boxing Day & Proclamation Day,1,1,1,1,1,1,1,1,8,TRUE
12/27/2022,2022,12,27,Tuesday,Additional Public Holiday,1,1,1,1,1,1,1,1,8,TRUE
1/1/2023,2023,1,1,Sunday,New Year's Day,,1,,1,,1,1,1,5,FALSE
1/2/2023,2023,1,2,Monday,New Year's Day Observance,1,1,1,1,1,1,1,1,8,TRUE
1/26/2023,2023,1,26,Thursday,Australia Day,1,1,1,1,1,1,1,1,8,TRUE
2/14/2023,2023,2,14,Tuesday,Royal Hobart Regatta,,,,,1,,,,1,FALSE
3/6/2023,2023,3,6,Monday,Labour Day,,,,,,,1,,1,FALSE
3/13/2023,2023,3,13,Monday,"Adelaide Cup, Canberra Day, Eight Hours Day & Labour Day",1,,1,,1,1,,,4,FALSE
4/7/2023,2023,4,7,Friday,Good Friday,1,1,1,1,1,1,1,1,8,TRUE
4/8/2023,2023,4,8,Saturday,Easter Saturday,1,1,1,1,,1,,1,6,FALSE
4/9/2023,2023,4,9,Sunday,Easter Sunday,,1,1,,,1,1,1,5,FALSE
4/10/2023,2023,4,10,Monday,Easter Monday,1,1,1,1,1,1,1,1,8,TRUE
4/25/2023,2023,4,25,Tuesday,ANZAC Day,1,1,1,1,1,1,1,1,8,TRUE
5/1/2023,2023,5,1,Monday,Labour Day & May Day,,1,,1,,,,,2,FALSE
5/29/2023,2023,5,29,Monday,Reconciliation Day,,,1,,,,,,1,FALSE
6/5/2023,2023,6,5,Monday,Western Australia Day,,,,,,,1,,1,FALSE
6/12/2023,2023,6,12,Monday,Queen's Birthday,1,,1,1,1,1,,1,6,FALSE
8/7/2023,2023,8,7,Monday,Picnic Day,,,,1,,,,,1,FALSE
8/16/2023,2023,8,16,Wednesday,Royal Queensland Show,,1,,,,,,,1,FALSE
9/25/2023,2023,9,25,Monday,Queen's Birthday,,,,,,,1,,1,FALSE
9/29/2023,2023,9,29,Friday,AFL Grand Final Eve (date is not confirmed and is subject to the currently unreleased 2023 AFL schedule),,,,,,1,,,1,FALSE
10/2/2023,2023,10,2,Monday,Queen's Birthday & Labour Day,1,1,1,,,,,1,4,FALSE
10/26/2023,2023,10,26,Thursday,Royal Hobart Show,,,,,1,,,,1,FALSE
11/7/2023,2023,11,7,Tuesday,Melbourne Cup,,,,,,1,,,1,FALSE
12/25/2023,2023,12,25,Monday,Christmas Day,1,1,1,1,1,1,1,1,8,TRUE
12/26/2023,2023,12,26,Tuesday,Boxing Day & Proclamation Day,1,1,1,1,1,1,1,1,8,TRUE
