stationId,addressType,addressName,addressNumber,latitude,longitude,altitude,districtId,districtName,neighborhoodId,neighborhoodName,postCode,capacity
076721ea,CARRER,GELABERT,1,41.38715,2.14109,47,4,Les Corts,19,Les Corts,8029,27
9cf9b4a9,CARRER,VALLESPIR,194,41.38471,2.13343,48,4,Les Corts,19,Les Corts,8014,27
d178a64c,CARRER,MEJÍA LEQUERICA,2,41.38197,2.12686,47,4,Les Corts,20,La Maternitat I Sant Ramon,8028,27
7592bf60,CARRER,JOAN GÜELL,174,41.38390,2.13128,47,4,Les Corts,19,Les Corts,8028,24
6036a906,CARRER,NUMÀNCIA,136,41.38780,2.13442,55,4,Les Corts,19,Les Corts,8029,24
b455fb84,CARRER,DE LES CORTS,20,41.38544,2.12887,52,4,Les Corts,19,Les Corts,8028,27
4f40136f,AVINGUDA,DIAGONAL,668,41.38870,2.12857,64,4,Les Corts,19,Les Corts,8034,33
edfb7d6e,AVINGUDA,DIAGONAL,672,41.38803,2.12562,63,4,Les Corts,21,Pedralbes,8034,33
230975a4,CARRER,DE CAN SEGALAR,4,41.38794,2.13059,0,4,Les Corts,19,Les Corts,8028,37
977c3a43,AVINGUDA,DIAGONAL,650,41.38979,2.13286,62,4,Les Corts,19,Les Corts,8017,33
85b792eb,AVINGUDA,DIAGONAL,634,41.39084,2.13657,62,4,Les Corts,19,Les Corts,8017,25
f1674f10,AVINGUDA,DIAGONAL,630,41.39151,2.13906,59,5,Sarrià-sant Gervasi,26,Sant Gervasi - Galvany,8017,33
74ed4c16,CARRER,DIPUTACIÓ,200,41.38574,2.16105,23,2,Eixample,8,L'antiga Esquerra De L'eixample,8011,26
b72d451a,CARRER,VILARDELL,18,41.37452,2.14225,22,3,Sants-Montjuïc,15,Hostafrancs,8014,31
79a98f2c,CARRER,SANCHO DE ÁVILA,60,41.39875,2.19021,5,10,Sant Martí,66,El Parc I La Llacuna Del Poblenou,8018,28
89926791,AVINGUDA,SARRIÀ,163,41.39223,2.13092,75,4,Les Corts,19,Les Corts,8017,24
7091d8f7,CARRER,SANTA FE DE NOU MÈXIC,2,41.39358,2.13458,70,5,Sarrià-sant Gervasi,24,Les Tres Torres,8017,33
f35271d7,CARRER,JOSÉ DE  AGULLÓ,9,41.39520,2.13348,72,5,Sarrià-sant Gervasi,24,Les Tres Torres,8017,25
6d750be0,CARRER,GANDUXER,29,41.39393,2.13803,65,5,Sarrià-sant Gervasi,26,Sant Gervasi - Galvany,8021,21
1139cdf3,CARRER,MADRAZO,131,41.39678,2.14455,63,5,Sarrià-sant Gervasi,26,Sant Gervasi - Galvany,8021,27
57d82c81,CARRER,RECTOR UBACH,24,41.39857,2.14408,75,5,Sarrià-sant Gervasi,26,Sant Gervasi - Galvany,8021,27
9c2dcbe5,CARRER,CONSELL DE CENT,566,41.40403,2.18314,17,2,Eixample,6,La Sagrada Família,8013,39
fbf339ba,CARRER,LAFORJA,74,41.39761,2.14717,67,5,Sarrià-sant Gervasi,26,Sant Gervasi - Galvany,8021,26
cc8f9863,CARRER,TUSET,19,41.39609,2.15131,53,5,Sarrià-sant Gervasi,26,Sant Gervasi - Galvany,8006,26
f55e0a35,,GRAN DE GRÀCIA,155,41.40253,2.15247,68,6,Gràcia,31,La Vila De Gràcia,8012,24
6a115b23,CARRER,DEL CANÓ,1,41.40132,2.15744,58,6,Gràcia,31,La Vila De Gràcia,8012,27
