station_id,address,lat,lon,altitude,post_code,capacity
266,"C/ RIERA D'HORTA, 2",41.427591,2.183966,38,8027,34
267,"PG. TORRAS I BAGES, 129",41.4433647,2.1906302,29,8030,24
268,"C/ FERNANDO PESSOA, 72",41.4457195,2.1929816,26,8030,27
269,"VIA BARCINO, 121",41.448152,2.19294,26,8033,20
270,"270 - CRTA. DE RIBES, 77 (TRINITAT VELLA)",41.4486328,2.1898372,35,8033,27
271,"VIA DE BÀRCINO, 54",41.45137,2.1922985,NA,8033,21
272,"C/ CONCEPCIÓ ARENAL, 281",41.4325013,2.1842021,32,8033,27
273,"AV. MERIDIANA, 404",41.4304126,2.1834174,38,8030,36
274,"RAMBLA FABRA I PUIG, 67",41.4299201,2.1849813,33,8030,32
275,"AV. RIO DE JANEIRO, 3",41.43068,2.1821802,38,8016,32
276,PLAÇA ALFONS X EL SAVI / RONDA DEL GUINARDO,41.4121345,2.1652216,88,8024,27
277,"TRAVESSERA DE GRÀCIA, 328",41.4082107,2.1689962,60,8025,27
278,"TRAVESSERA DE GRÀCIA, 368",41.4098842,2.1715285,59,8025,27
279,"C/ MAS CASANOVAS, 137",41.4158995,2.1745567,75,8041,27
280,"C/ SANT ANTONI Mª CLARET, 290-296",41.4138664,2.1777274,49,8041,27
281,"C/ D'ESCORNALBOU, 51",41.4180789,2.1763994,74,8041,24
282,"PG. FONT D´EN- FARGAS, 1",41.4275514,2.1659881,75,8031,27
283,"C/ FULTON, 1",41.4297231,2.1617032,76,8032,20
284,"AV. DIAGONAL, 652",41.389462,2.1314948,63,8034,27
285,"C/ MALATS, 98-100",41.4366708,2.186105,35,8030,15
286,"C/ BOLÍVIA, 76",41.4030225,2.1913538,7,8018,18
287,"GRAN VIA DE LES CORTS CATALANES, 632",41.3890626,2.1679313,22,8007,16
288,PL. VIRREI AMAT,41.4296439,2.174444,55,8016,32
289,"C/ MÚRCIA, 64",41.4166982,2.1909952,17,8027,27
290,"PL. DELS JARDINS D'ALFÀBIA, 1",41.4373376,2.1740962,66,8016,17
291,"C/ CUBELLES, 2",41.426078,2.1751572,57,8031,27
292,"C/ AMILCAR, 1",41.4300161,2.1720191,61,8031,12
293,"C/ GRANOLLERS, 1",41.4283127,2.1629889,78,8032,24
294,SEU DEL DISTRICTE (NOU BARRIS),41.4363473,2.1706752,72,8042,24
295,"C/ SANT ISCLE, 60",41.433384,2.1716309,61,8031,27
296,"C/ DE ROSSELLÓ I PORCEL, 1 | AV. MERIDIANA",41.4364887,2.1841014,41,8016,33
297,"C/ TURÓ BLAU, 1-3",41.4388223,2.1767828,62,8016,24
298,"C/ ANDREU NIN, 22",41.4347233,2.1817718,41,8016,32
299,"C/ DE L'ESCULTOR ORDÓÑEZ, 55",41.4340849,2.1748267,53,8016,27
300,"C/ DE MALADETA, 1",41.4315843,2.1769107,44,8016,18
301,"C/ MARIE CURIE, 8-14",41.4366871,2.1693134,73,8042,27
302,"C/ CAVALLERS, 41",41.3906352,2.111541,111,8034,39
303,"C/ CAVALLERS, 67",41.3934324,2.115107,101,8034,27
304,"PG. MANUEL GIRONA, 7",41.39038,2.121,78,8034,26
305,"AV. DIAGONAL, 680",41.3875297,2.1237141,65,8034,27
306,"C/ DOCTOR SALVADOR CARDENAL, 1-5",41.3853868,2.122893,60,8028,31
307,C/ PINTOR RIBALTA | AV. XILE,41.3791986,2.1135824,60,8028,32
308,"C/ CARDENAL REIG, 11",41.37684,2.114029,54,8028,27
309,"C/ SANT RAMON NONAT,  26",41.3770199,2.1169828,50,8028,22
310,C/ JOSEP SAMITIER | AV. JOAN XXIII,41.3812111,2.1190863,46,8028,27
311,"C/ GALLEGO, 2",41.3785631,2.1202487,43,8028,23
312,"C/ ARIZALA, 77",41.3789061,2.1233038,40,8028,36
313,"C/ FELIU DE CASANOVA, 1",41.3754188,2.1297823,28,8028,29
314,"RAMBLA DEL BRASIL, 44",41.3783067,2.1297303,35,8028,24
315,"C/ DEL GUINARDÓ, 32-38",41.4156285,2.1817876,38,8041,27
316,"C/ CANTÀBRIA, 55",41.4224015,2.198071,9,8020,26
317,"RAMBLA DE PRIM, 256",41.4256626,2.2008632,11,8020,27
318,"C/ CASTILLEJOS, 388",41.412427,2.170592,77,8025,32
319,"C/ SAGUÉS, 1",41.3937414,2.1455022,51,8021,31
320,"C/ MADRAZO, 39",41.400305,2.149144,67,8006,27
321,"C/ SANT HERMENEGILD, 30",41.4031529,2.1445843,79,8006,27
322,"C/ SANTALÓ, 165",41.4009,2.13892,106,8021,24
323,"C/ VALLMAJOR, 13",41.3981616,2.1386719,88,8021,27
324,"C/ REINA VICTORIA, 31",41.3969455,2.136346,80,8021,27
325,"C/ ALT DE GIRONELLA, 13",41.3949601,2.1302775,82,8017,23
326,"C/ BALMES, 409",41.4074131,2.1381069,111,8022,32
327,"C/ REUS, 23",41.4050074,2.134603,114,8022,24
328,"C/ ARTESA DE SEGRE, 2",41.402988,2.1344691,106,8022,27
329,"C/ DE LES ESCOLES PIES, 99",41.4029965,2.1283866,121,8017,27
330,"C/ PAU ALCOVER, 94",41.401883,2.131524,108,8017,27
331,"C/ CASTELLNOU, 65",41.3970497,2.1279409,95,8017,31
332,"C/ DOCTOR ROUX, 86",41.3998981,2.1281922,104,8017,27
333,"PASSATGE DE SENILLOSA, 3-5",41.3954723,2.1250451,94,8034,27
334,"PG. BONANOVA, 100",41.400793,2.122889,117,8017,26
335,"C/ SANTA AMÈLIA, 2",41.3935355,2.1231228,92,8034,27
336,"AV. JOSEP VICENÇ FOIX, 52",41.3948771,2.1205394,96,8034,23
337,"C/ CARME KARR, 12-14",41.3986238,2.1204941,117,8034,23
338,"AV. JOSEP VICENÇ FOIX, 63",41.3977227,2.1194557,111,8034,36
339,"C/ RAMON TURRÓ, 246",41.4017084,2.2053803,2,8005,27
340,"C/ SANT ADRIÀ, 113",41.4361782,2.2047037,13,8030,24
341,"PG. D'ENRIC SANCHIS, 33",41.4339212,2.2062245,11,8030,27
342,"C/ ROC BORONAT, 134",41.4034967,2.1936584,5,8018,43
343,CAMPANA DE LA MAQUINISTA (SAO PAULO I PL. DE,41.4389609,2.1996179,14,8030,27
344,"C/ CIUTAT D'ASUNCIÓN, 73 / POTOSÍ",41.4431441,2.1996045,16,8030,27
345,PL. TERESA DE CLARAMUNT/C/ DELS FERROCARILS,41.3631066,2.1398322,10,8038,32
346,"PG. ZONA FRANCA, 182",41.360798,2.138931,8,8038,36
347,"C/ ALTS FORNS, 77",41.3595484,2.1417765,9,8038,32
348,JARDINS DE CAN FERRERO/PG.DE LA ZONA FRANCA,41.357067,2.141563,7,8038,33
349,"C/ DE L'ENERGIA, 2 / ALTS FORNS",41.3573288,2.1371996,7,8038,31
350,"C/ LONDRES, 63",41.391756,2.148291,NA,8036,31
351,"C/ JANE ADDAMS, 26/ CRTA. DEL PRAT",41.3621232,2.1356187,9,8038,33
352,"C/RADI,10/GRAN VIA DE LES CORTS CATALANES",41.363279,2.1341586,9,8038,28
353,C/ MUNNÉ  2-6,41.37541,2.1232547,34,8028,31
354,"RAMBLA DEL BRASIL, 5",41.3759419,2.1299539,28,8028,26
355,"C/ RIERA BLANCA, 123",41.371459,2.127854,22,8028,27
356,"C/ CAMÈLIES, 73",41.4134503,2.1631012,106,8024,35
357,"C/ CARDENER, 59",41.4105956,2.1579897,87,8024,27
